fight_id,fighter1_id,fighter1,fighter2_id,fighter2,result,bout,round,format,f1_wins,f1_losses,f1_draws,f1_no_contests,f1_height,f1_weight,f1_reach,f1_stance,f1_dob,f1_SLpM,f1_str_acc,f1_SApM,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_wins,f2_losses,f2_draws,f2_no_contests,f2_height,f2_weight,f2_reach,f2_stance,f2_dob,f2_SLpM,f2_str_acc,f2_SApM,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg
2928,bda04c573563cc2e,Todd Duffee,6a11e325aa60ad02,Jeff Hughes,NC,Heavyweight Bout,1,3 Rnd (5-5-5),9,3,0,1,190.5,117.91,198.12,Orthodox,1985-12-06,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0.0,10,4,0,1,187.96,113.38,195.58,Orthodox,1988-05-17,3.95,0.51,3.67,0.6,0.71,0.5,0.45,0.0
2929,595db60957de51d3,Michel Pereira,2ebfbe72ed703925,Tristan Connelly,Tristan Connelly,Welterweight Bout,3,3 Rnd (5-5-5),31,13,0,2,185.42,83.9,185.42,Orthodox,1993-10-06,4.5,0.52,4.33,0.51,1.14,0.52,0.76,0.7,14,8,0,0,177.8,65.76,172.72,Orthodox,1985-12-12,3.31,0.51,2.96,0.5,0.33,0.14,0.6,0.3
2930,65578a75fa7900e3,Uriah Hall,52e76bb4b3e852f3,Antonio Carlos Junior,Uriah Hall,Middleweight Bout,3,3 Rnd (5-5-5),18,11,0,0,182.88,83.9,200.66,Orthodox,1984-07-31,3.23,0.48,3.85,0.54,0.54,0.38,0.64,0.1,11,5,0,1,187.96,83.9,200.66,Orthodox,1990-03-16,1.95,0.42,2.14,0.52,3.42,0.39,0.53,0.8
2931,67f272324a030d00,Misha Cirkunov,70e1f8a821b72c8b,Jimmy Crute,Misha Cirkunov,Light Heavyweight Bout,1,3 Rnd (5-5-5),15,9,0,0,190.5,92.97,195.58,Orthodox,1987-02-27,3.86,0.51,3.06,0.57,4.15,0.39,0.76,1.7,12,4,2,0,187.96,92.97,187.96,Orthodox,1996-03-04,4.37,0.53,3.63,0.42,3.86,0.52,0.58,1.6
2932,c9cf753cfdf77fc2,Marcin Tybura,441eacbe20e0e80b,Augusto Sakai,Augusto Sakai,Heavyweight Bout,1,3 Rnd (5-5-5),27,9,0,0,190.5,112.93,198.12,Orthodox,1985-11-09,3.6,0.48,3.31,0.55,1.39,0.33,0.75,0.1,16,5,1,0,190.5,120.18,195.58,Orthodox,1991-05-09,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0
2933,56709e66f1c6008f,Cole Smith,46e0d677f91bacc0,Miles Johns,Miles Johns,Bantamweight Bout,3,3 Rnd (5-5-5),7,2,0,0,180.34,61.22,170.18,Orthodox,1989-04-05,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,15,3,0,1,170.18,61.22,167.64,Orthodox,1994-03-30,3.16,0.44,2.65,0.67,0.92,0.2,0.81,0.0
2934,7b433309b0fd12aa,Brad Katona,2af2f2e26c4c0402,Hunter Azure,Hunter Azure,Bantamweight Bout,3,3 Rnd (5-5-5),16,5,0,0,167.64,61.22,162.56,Orthodox,1991-12-19,4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0,9,2,0,0,172.72,65.76,175.26,Orthodox,1992-03-02,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3
2935,4bd6b4800070b069,Chas Skelly,ebef46976554f975,Jordan Griffin,Chas Skelly,Featherweight Bout,3,3 Rnd (5-5-5),19,3,0,1,180.34,65.76,182.88,Orthodox,1985-05-11,2.01,0.4,3.21,0.49,1.74,0.34,0.39,2.3,18,9,0,0,177.8,65.76,185.42,Southpaw,1990-02-28,2.52,0.46,3.02,0.5,1.45,0.35,0.42,1.9
2936,d2bc285ead803db0,Louis Smolka,35e1f9984ed64206,Ryan MacDonald,Louis Smolka,Bantamweight Bout,1,3 Rnd (5-5-5),17,9,0,0,175.26,61.22,172.72,Orthodox,1991-07-16,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,10,2,0,0,180.34,61.22,180.34,Switch,1993-03-18,2.28,0.29,6.49,0.45,0.0,0.0,0.0,0.0
2937,873626e5547b5235,Kyle Prepolec,d2cd7a69cc55e7ed,Austin Hubbard,Austin Hubbard,Lightweight Bout,3,3 Rnd (5-5-5),18,9,0,0,177.8,70.29,177.8,Southpaw,1989-08-30,2.87,0.35,5.19,0.49,0.0,0.0,0.4,0.0,17,9,0,0,177.8,70.29,180.34,Orthodox,1991-12-22,3.87,0.43,3.82,0.56,1.59,0.31,0.68,0.1
2938,032cc3922d871c7f,Khabib Nurmagomedov,029eaff01e6bb8f0,Dustin Poirier,Khabib Nurmagomedov,UFC Lightweight Title Bout,3,5 Rnd (5-5-5-5-5),29,0,0,0,177.8,70.29,177.8,Orthodox,1988-09-20,4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8,30,9,0,1,175.26,70.29,182.88,Southpaw,1989-01-19,5.3,0.5,4.33,0.52,1.24,0.36,0.64,1.3
